h43-114.2015|passage|h|2015|2015-01-22T11:04:00-05:00|43|On Agreeing to the Resolution: H RES 42 Providing for consideration of the bill (H.R. 7) to prohibit taxpayer funded abortions|Providing for consideration of the bill (H.R. 7) to prohibit taxpayer funded abortions|On the Resolution|Passed
h259-114.2015|recommit|h|2015|2015-05-20T19:09:00-04:00|259|On Motion to Recommit with Instructions: H R 880 American Research and Competitiveness Act of 2015|American Research and Competitiveness Act of 2015|On the Motion to Recommit|Failed
h408-114.2015|amendment|h|2015|2015-07-08T15:18:00-04:00|408|On Agreeing to the Amendment: Amendment 61 to H R 2822||On the Amendment|Agreed to
h426-114.2015|procedural|h|2015|2015-07-09T14:04:00-04:00|426|On Motion to Refer: H RES 355 Raising a question of the privileges of the House|Raising a question of the privileges of the House|On Motion to Refer|Passed
h96-114.2015|amendment|h|2015|2015-02-26T19:16:00-05:00|96|On Agreeing to the Amendment: Amendment 2 to H R 5||On the Amendment|Failed
h253-114.2015|amendment|h|2015|2015-05-20T18:31:00-04:00|253|On Agreeing to the Amendment: Amendment 6 to H R 1806||On the Amendment|Agreed to
h224-114.2015|passage|h|2015|2015-05-13T17:46:00-04:00|224|On Passage: H R 2048 Uniting and Strengthening America by Fulfilling Rights and Ensuring Effective Discipline Over Monitoring Act of 2015 or the USA FREEDOM Act|Uniting and Strengthening America by Fulfilling Rights and Ensuring Effective Discipline Over Monitoring Act of 2015 or the USA FREEDOM Act|On Passage of the Bill|Passed
h49-114.2015|recommit|h|2015|2015-01-28T10:50:00-05:00|49|On Motion to Recommit with Instructions: H R 351 LNG Permitting Certainty and Transparency Act|LNG Permitting Certainty and Transparency Act|On the Motion to Recommit|Failed
s137-114.2015|amendment|s|2015|2015-04-14T19:13:00-04:00|137|On the Amendment S.Amdt. 1114 to H.R. 2 (Medicare Access and CHIP Reauthorization Act of 2015)|Cornyn Amdt. No. 1114|On the Amendment|Amendment Rejected
h159-114.2015|passage|h|2015|2015-04-16T11:54:00-04:00|159|On Passage: H R 622 State and Local Sales Tax Deduction Fairness Act|State and Local Sales Tax Deduction Fairness Act|On Passage of the Bill|Passed
s39-114.2015|amendment|s|2015|2015-01-28T17:23:00-05:00|39|On the Amendment S.Amdt. 166 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act)|Murkowski Amdt. No. 166|On the Amendment|Amendment Rejected
s299-114.2015|procedural|s|2015|2015-11-05T13:46:00-05:00|299|On the Motion to Proceed H.R. 2029|Motion to Proceed to H.R. 2029|On the Motion to Proceed|Motion to Proceed Agreed to
h452-114.2015|procedural|h|2015|2015-07-22T14:08:00-04:00|452|On Approving the Journal||On Approving the Journal|Passed
h404-114.2015|amendment|h|2015|2015-07-08T15:06:00-04:00|404|On Agreeing to the Amendment: Amendment 52 to H R 2822||On the Amendment|Failed
h447-114.2015|passage|h|2015|2015-07-16T12:39:00-04:00|447|On Passage: H R 2898 Western Water and American Food Security Act|Western Water and American Food Security Act|On Passage of the Bill|Passed
s90-114.2015|procedural|s|2015|2015-03-25T17:58:00-04:00|90|On the Motion (Motion to Waive All Applicable Budgetary Discipline Re: Bennet Amdt. No. 601)|Motion to Waive All Applicable Budgetary Discipline Re: Bennet Amdt. No. 601|On the Motion (Motion to Waive All Applicable Budgetary Discipline Re: Bennet Amdt. No. 601)|Motion Rejected
s158-114.2015|amendment|s|2015|2015-04-22T14:01:00-04:00|158|On the Amendment S.Amdt. 1127 to S. 178 (Justice for Victims of Trafficking Act of 2015)|Cornyn Amdt. No. 1127|On the Amendment|Amendment Rejected
h23-114.2015|amendment|h|2015|2015-01-13T16:49:00-05:00|23|On Agreeing to the Amendment: Amendment 1 to H R 185||On the Amendment|Agreed to
h699-114.2015|passage-suspension|h|2015|2015-12-16T14:39:00-05:00|699|On Motion to Suspend the Rules and Pass, as Amended: H R 3750 First Responders Passport Act of 2015|First Responders Passport Act of 2015|On Motion to Suspend the Rules and Pass, as Amended|Passed
s108-114.2015|amendment|s|2015|2015-03-26T17:14:00-04:00|108|On the Amendment S.Amdt. 649 to S.Con.Res. 11 (No short title on file)|Inhofe Amdt. No. 649 As Modified|On the Amendment|Amendment Agreed to
h168-114.2015|amendment|h|2015|2015-04-22T16:20:00-04:00|168|On Agreeing to the Amendment: Amendment 4 to H R 1560||On the Amendment|Agreed to
s238-114.2015|amendment|s|2015|2015-07-15T15:19:00-04:00|238|On the Amendment S.Amdt. 2176 to S.Amdt. 2089 to S. 1177 (Every Child Achieves Act of 2015)|Markey Amdt. No. 2176|On the Amendment|Amendment Rejected
h15-114.2015|recommit|h|2015|2015-01-09T12:56:00-05:00|15|On Motion to Recommit with Instructions: H R 3 Keystone XL Pipeline Act|Keystone XL Pipeline Act|On the Motion to Recommit|Failed
h500-114.2015|recommit|h|2015|2015-09-17T17:02:00-04:00|500|On Motion to Recommit with Instructions: H R 758 To amend Rule 11 of the Federal Rules of Civil Procedure to improve attorney accountability, and for other purposes.|To amend Rule 11 of the Federal Rules of Civil Procedure to improve attorney accountability, and for other purposes.|On the Motion to Recommit|Failed
h72-114.2015|passage|h|2015|2015-02-11T15:08:00-05:00|72|On Agreeing to the Resolution: H RES 100 Providing for consideration of S. 1, the Keystone XL Pipeline Approval Act|Providing for consideration of S. 1, the Keystone XL Pipeline Approval Act|On the Resolution|Passed
