s221-114.2015|12|Kara Farnandez Stoll, of Virginia, to be United States Circuit Judge for the Federal Circuit
s305-114.2015|15|LaShann Moutique DeArcy Hall, of New York, to be United States District Judge for the Eastern District of New York
s56-114.2015|1|Ashton B. Carter, of Massachusetts, to be Secretary of Defense
s217-114.2015|414|Peter V. Neffenger, of Ohio, to be an Assistant Secretary of Homeland Security
s166-114.2015|43|Dava J. Newman, of Massachusetts, to be Deputy Administrator of the National Aeronautics and Space Administration
s283-114.2015|581|Julie Furuta-Toy, of Wyoming, to be Ambassador to the Republic of Equatorial Guinea
s70-114.2015|173|Christopher A. Hart, of Colorado, to be Chairman of the National Transportation Safety Board for a term of two years
s332-114.2015|18|Travis Randall McDonough, of Tennessee, to be United States District Judge for the Eastern District of Tennessee
s300-114.2015|569|Scott Allen, of Maryland, to be United States Director of the European Bank for Reconstruction and Development
s310-114.2015|420|Gayle Smith, of Ohio, to be Administrator of the United States Agency for International Development
s169-114.2015|209|Willie E. May, of Maryland, to be Under Secretary of Commerce for Standards and Technology
s263-114.2015|17|Roseann A. Ketchmark, of Missouri, to be United States District Judge for the Western District of Missouri
s164-114.2015|4|Loretta E. Lynch, of New York, to be Attorney General
s177-114.2015|31|Sally Quillian Yates, of Georgia, to be Deputy Attorney General
s274-114.2015|14|Dale A. Drozd, of California, to be United States District Judge for the Eastern District of California
s136-114.2015|21|Alfred H. Bennett, of Texas, to be United States District Judge for the Southern District of Texas
s165-114.2015|4|Loretta E. Lynch, of New York, to be Attorney General
s155-114.2015|16|George C. Hanks, Jr., of Texas, to be United States District Judge for the Southern District of Texas
s77-114.2015|130|William P. Doyle, of Pennsylvania, to be a Federal Maritime Commissioner for a term expiring June 30, 2018
s309-114.2015|629|Peter William Bodde, of Maryland, to be Ambassador to Libya
s184-114.2015|20|Jill N. Parrish, of Utah, to be United States District Judge for the District of Utah
s154-114.2015|56|Russell C. Deyo, of New Jersey, to be Under Secretary for Management, Department of Homeland Security
s54-114.2015|60|Michael P. Botticelli, of the District of Columbia, to be Director of National Drug Control Policy
s69-114.2015|62|Daniel Henry Marti, of Virginia, to be Intellectual Property Enforcement Coordinator, Executive Office of the President
s284-114.2015|154|Lawrence Joseph Vilardo, of New York, to be United States District Judge for the Western District of New York
s208-114.2015|88|Matthew T. McGuire, of the District of Columbia, to be United States Executive Director of the International Bank for Reconstruction and Development for a term of two years
s335-114.2015|64|Alissa M. Starzak, of New York, to be General Counsel of the Department of the Army
s185-114.2015|19|Jose Rolando Olvera, Jr., of Texas, to be United States District Judge for the Southern District of Texas
s279-114.2015|13|Ann Donnelly, of New York, to be United States District Judge for the Eastern District of New York
s71-114.2015|68|Carlos A. Monje, Jr., of Louisiana, to be an Assistant Secretary of Transportation
s137-114.2016|1500|Peter Michael McKinley, of Virginia, to be Ambassador to the Federative Republic of Brazil
s118-114.2016|575|Brian R. Martinotti, of New Jersey, to be United States District Judge for the District of New Jersey
s25-114.2016|849|Robert McKinnon Califf, of South Carolina, to be Commissioner of Food and Drugs, Department of Health and Human Services
s128-114.2016|1180|Carla D. Hayden, of Maryland, to be Librarian of Congress for a term of ten years
s72-114.2016|327|Paula Xinis, of Maryland, to be United States District Judge for the District of Maryland
s36-114.2016|1152|John B. King, of New York, to be Secretary of Education
s24-114.2016|849|Robert McKinnon Califf, of South Carolina, to be Commissioner of Food and Drugs, Department of Health and Human Services
s19-114.2016|915|Scot Alan Marciel, of California, to be Ambassador to the Union of Burma
s88-114.2016|771|Laura S. H. Holgate, of Virginia, to be the Representative of the United States of America to the International Atomic Energy Agency, with the rank of Ambassador
s6-114.2016|326|John Michael Vazquez, of New Jersey, to be United States District Judge for the District of New Jersey
s18-114.2016|831|Rebecca Goodgame Ebinger, of Iowa, to be United States District Judge for the Southern District of Iowa
s111-114.2016|576|Robert F. Rossiter, Jr., of Nebraska, to be United States District Judge for the District of Nebraska
s142-114.2016|1375|Susan S. Gibson, of Virginia, to be Inspector General of the National Reconnaissance Office
s3-114.2016|367|Wilhelmina Marie Wright, of Minnesota, to be United States District Judge for the District of Minnesota
s23-114.2016|675|Leonard Terry Strand, of South Dakota, to be United States District Judge for the Northern District of Iowa
s1-114.2016|11|Luis Felipe Restrepo, of Pennsylvania, to be United States Circuit Judge for the Third Circuit
s44-114.2016|153|Waverly D. Crenshaw, Jr., of Tennessee, to be United States District Judge for the Middle District of Tennessee
