0,3241
2,3244
3,3242
4,3268
6,3286
8,3299
8,3691
9,3291
10,3316
13,3329
13,3627
15,3333
17,3347
17,3348
18,2579
19,2600
20,2604
21,2797
22,2798
23,2800
24,2802
25,2808
26,1735
26,4395
27,2810
28,3363
29,3365
30,1791
31,3369
32,3371
33,3392
34,3404
35,3402
36,3400
37,3394
38,3421
39,3415
40,3413
41,3406
42,3431
43,3429
44,3425
45,3423
46,3441
47,3439
48,3437
49,3435
50,3453
51,3455
52,3445
53,3447
54,3466
55,3468
56,3462
57,3464
58,3476
59,3482
60,3469
61,3474
62,3490
63,3492
64,3484
65,3488
66,2937
68,2941
69,2939
72,2930
73,2928
74,2962
75,2957
75,3284
77,2969
78,2965
79,2946
80,2942
81,2955
82,2947
83,2985
84,2988
85,2990
86,2970
87,2972
88,2975
89,2979
90,3003
91,3007
91,3044
92,3011
93,3015
94,2992
95,2993
97,3000
98,3046
99,3043
101,3033
103,3022
104,3019
105,3018
106,3343
107,3059
108,3058
109,3590
111,3055
112,3052
113,3050
114,1370
115,3048
116,3147
117,3153
118,3134
119,3137
120,3117
121,3131
122,3087
123,3103
124,3200
124,4208
125,3231
126,3183
127,3188
128,3181
130,3157
131,3179
131,4470
143,3193
152,3840
161,2854
162,2856
163,2849
163,4459
164,2850
165,2866
166,2868
168,3527
169,2864
170,2833
171,2835
174,2847
175,2848
176,2838
177,2844
178,2911
179,2906
180,2905
181,2901
182,2920
183,2918
185,2913
186,2881
187,2879
188,2876
189,2871
192,2892
193,2887
199,1428
199,3080
207,2888
216,1848
225,3679
243,1504
245,1507
248,2996
250,3517
261,2857
262,2485
262,2488
264,1626
264,3969
265,1694
266,3747
267,3866
268,4491
271,2875
272,3700
272,3735
273,1371
274,4411
276,4359
276,4385
279,3471
284,4391
285,4393
286,4378
287,4387
289,4375
304,4343
308,4461
309,4465
310,4466
311,4467
312,1940
316,4458
319,4482
320,3692
320,4418
321,4483
322,3562
323,4469
324,2812
325,4473
332,4398
333,3540
334,4394
335,4403
345,2883
346,4228
347,4227
348,2948
349,4225
350,2280
351,4221
352,4234
353,4234
354,4232
355,4229
356,4205
357,4204
358,4201
359,4199
360,4219
362,4218
363,4217
364,3754
364,3758
365,4212
366,4133
368,4120
369,4133
370,4189
371,3881
372,4190
373,4168
374,4178
375,3999
376,4001
377,3987
378,3991
379,4007
380,4039
381,4003
382,3556
383,4005
383,4462
389,4372
394,4272
395,4269
396,3833
404,4253
411,4235
412,1545
413,4236
414,4238
420,3751
421,3745
422,3737
423,3727
425,3717
426,3697
429,3647
430,3624
431,4472
432,3611
433,3605
434,3596
436,3580
436,4146
437,3574
438,3578
440,3567
441,3526
442,3543
444,3522
445,3524
446,3518
447,3520
448,3510
449,3512
